abbreviatedAddress,city,zipcode,latitude,longitude,bathrooms,bedrooms,lotSize,daysOnZillow,Date_sold,price,zestimate,rentZestimate,propertyTaxRate,taxAssessedValue,taxAssessedYear
9576 NW Marvin Ln,Portland,97229,45.53176117,-122.7756805,3,4,6969,8,7/15/2021,845000,846200,3716,1.13,643220,2019
6127 NE 27th Ave,Portland,97211,45.56740952,-122.6384506,3,3,3049,8,7/15/2021,749500,750900,3068,1.12,629630,2020
15226 NW Eugene Ln,Portland,97229,45.54879379,-122.8337631,3,4,8276,8,7/15/2021,930000,931300,4043,1.13,721740,2019
9715 NW Bartholomew Dr,Portland,97229,45.53897858,-122.7765579,3,3,11325,8,7/15/2021,727345,728100,2984,1.12,603300,2020
330 NW Torrey View Dr,Portland,97229,45.52212524,-122.7682037,3,4,10454,8,7/15/2021,710000,712500,2434,1.13,537320,2019
4142 SE 52nd Ave,Portland,97206,45.49261856,-122.6086807,2,3,12196,7,7/15/2021,847000,848200,2600,1.12,561210,2020
140 NW 89th Ave,Portland,97229,45.52059555,-122.7683182,3,4,10018,7,7/15/2021,754600,755300,2495,1.13,473690,2019
2853 SE 49th Ave,Portland,97206,45.50170135,-122.6123505,3,5,4791,7,7/15/2021,777700,819800,3196,1.12,561020,2020
11201 S Riverwood Rd,Portland,97219,45.44457626,-122.6563339,2,3,22215,7,7/15/2021,797000,798200,2833,1.12,825550,2020
5104 SE Long St,Portland,97206,45.48810959,-122.6095581,2,3,21780,8,7/15/2021,980000,1046900,4411,1.12,944580,2020
7316 SE 31st Ave,Portland,97202,45.47154236,-122.6311035,4,4,10018,8,7/15/2021,1150000,1151300,4817,1.12,1043850,2020
11526 SW Vacuna Ct,Portland,97219,45.44166565,-122.7010727,3,4,6534,7,7/15/2021,700000,700500,3133,1.12,580920,2020
12012 SE 35th Ave,Milwaukie,97222,45.43638611,-122.6269226,2,3,8712,10,7/15/2021,495000,496100,2594,1.08,363682,2020
3026 SE Washington St,Portland,97222,45.44340134,-122.6313171,3,3,7405,10,7/15/2021,450000,451000,3010,1.08,376602,2020
15754 NW Trakehner Way,Portland,97229,45.55782318,-122.8390961,3,5,6098,8,7/15/2021,670000,671400,2914,1.13,574710,2019
4425 NE Cleveland Ave,Portland,97211,45.55543518,-122.665947,2,3,2613,8,7/15/2021,735000,735800,2635,1.12,533220,2020
5711 NW Primino Ave,Portland,97229,45.56080246,-122.811409,4,4,4791,8,7/15/2021,790000,791100,3608,1.13,741120,2019
603 NE Webster St,Portland,97211,45.56020737,-122.6593018,4,4,3049,7,7/15/2021,750000,750500,3000,1.12,679780,2020
2421 SE Dove St,Portland,97222,45.43271637,-122.6386337,2,3,4791,11,7/15/2021,430000,432200,2527,1.08,316107,2020
13491 NW Alvada St,Portland,97229,45.55652237,-122.8155441,3,4,6098,7,7/15/2021,784000,785300,3494,1.13,673830,2019
1834 SE Exeter Dr,Portland,97202,45.45686722,-122.6514206,2,4,21250,7,7/15/2021,1625000,1628500,5366,1.08,927067,2020
5804 NE 22nd Ave,Portland,97211,45.5645752,-122.6431732,2,4,4791,7,7/15/2021,716000,717000,2995,1.12,549520,2020
9832 NW Thompson Rd,Portland,97229,45.54851532,-122.7775192,4,4,13939,7,7/15/2021,1050000,1050800,4889,1.12,898530,2020
8315 SE 9th Ave,Portland,97202,45.46261215,-122.6572876,2,3,4791,7,7/15/2021,865000,866300,2795,1.12,574330,2020
6133 SW Orchid Dr,Portland,97219,45.46062088,-122.7412796,3,4,20908,7,7/15/2021,1150000,1150800,5110,1.12,1005110,2020
2563 NW 108th Ter,Portland,97229,45.53811264,-122.7885284,3,5,6098,7,7/15/2021,867000,868500,3611,1.13,665780,2019
7439 SW 64th Pl,Portland,97219,45.47065353,-122.7422791,3,3,5227,7,7/15/2021,705000,666100,3522,1.12,573930,2020
12838 NW Oconnor Dr,Portland,97229,45.56081009,-122.8089752,4,5,4791,7,7/15/2021,860000,838600,2500,1.13,725820,2019
6317 SW Bently Ct,Portland,97219,45.46334839,-122.741188,3,4,8712,9,7/13/2021,658000,659000,3342,1.12,490950,2020
