abbreviatedAddress,city,zipcode,latitude,longitude,bathrooms,bedrooms,lotSize,daysOnZillow,Date_sold,price,zestimate,rentZestimate,propertyTaxRate,taxAssessedValue,taxAssessedYear
9061 SW 155th Ave,Beaverton,97007,45.45416641,-122.8365784,3,3,2178,3,2021-07-15,387500,386100.0,2199.0,1.13,324570.0,2019
19928 SW Inglis Dr,Beaverton,97007,45.45301819,-122.88211059999999,4,3,43995,3,2021-07-15,1650000,1421900.0,5034.0,1.13,981230.0,2019
14680 SW Topaz Ln,Beaverton,97007,45.46150208,-122.8276443,3,3,8276,4,2021-07-15,615000,669400.0,2664.0,1.13,503930.0,2019
2188 Club House Dr,West Linn,97068,45.37493134,-122.6487885,3,4,11761,10,2021-07-15,725000,726600.0,2562.0,1.08,507604.0,2020
2721 Lafave St,West Linn,97068,45.37870789,-122.6311111,2,3,10018,10,2021-07-15,575000,577600.0,2495.0,1.08,401394.0,2020
22085 S Wisteria Rd,West Linn,97068,45.36617661,-122.6648331,3,4,135036,10,2021-07-15,1175000,1177600.0,2455.0,1.08,720277.0,2020
3022 Kensington Ct,West Linn,97068,45.35598755,-122.6474075,2,3,6995,11,2021-07-15,760800,720900.0,2851.0,1.08,681261.0,2020
2285 Brandon Pl,West Linn,97068,45.35155106,-122.67300420000001,4,3,21780,11,2021-07-15,1100000,1103000.0,4944.0,1.08,918095.0,2020
12023 SE Wood Ave,Portland,97222,45.43647385,-122.60907749999998,3,3,6969,10,2021-07-15,440000,442000.0,3300.0,1.08,419189.0,2020
9465 SE 55th Ave,Portland,97222,45.45465088,-122.6075668,1,3,5662,10,2021-07-15,400000,401800.0,2562.0,1.08,263266.0,2020
2319 SE Birk St,Portland,97222,45.43528366,-122.63903049999999,1,3,6730,11,2021-07-15,100000,491800.0,3399.0,1.08,406241.0,2020
2933 Coeur D Alene Dr,West Linn,97068,45.35367966,-122.64094540000002,4,5,10018,10,2021-07-15,1495000,1498100.0,6175.0,1.08,1381442.0,2020
20595 Noble Ln,West Linn,97068,45.36558151,-122.64636229999999,3,4,3484,10,2021-07-15,488000,489100.0,2713.0,1.08,389240.0,2020
13331 Abigail Ct,Oregon City,97045,45.32416534,-122.5930862,2,3,8276,11,2021-07-15,517398,520100.0,2533.0,1.08,380676.0,2020
12865 SW 107th Ct,Tigard,97223,45.42692947,-122.78784180000001,2,3,6969,3,2021-07-15,443900,462900.0,1828.0,1.13,364880.0,2019
1125 Maple St,Lake Oswego,97034,45.40981674,-122.6720352,4,4,30491,11,2021-07-15,3650000,3659900.0,15576.0,1.08,1859615.0,2020
18711 Westview Dr,Lake Oswego,97034,45.39001083,-122.7027283,4,4,23522,11,2021-07-15,1200000,1206200.0,4950.0,1.08,1092801.0,2020
853 D Ave,Lake Oswego,97034,45.42436218,-122.672905,4,4,6098,10,2021-07-15,1812500,1820800.0,7810.0,1.08,1479224.0,2020
15271 SW Turnagain Dr,Tigard,97224,45.40945435,-122.80406950000001,3,4,5227,3,2021-07-15,595000,652700.0,2950.0,1.13,508100.0,2019
9760 SW McDonald St,Tigard,97224,45.41848755,-122.777153,2,3,11761,3,2021-07-15,446000,439300.0,2208.0,1.13,357680.0,2019
8685 SW Inez St,Tigard,97224,45.41542435,-122.7664413,3,3,7405,3,2021-07-15,580000,598400.0,2385.0,1.13,395790.0,2019
12049 SW Wilton Ave,Tigard,97223,45.43286896,-122.81919099999999,3,3,5662,4,2021-07-15,540000,576500.0,2562.0,1.13,411320.0,2019
1226 N Watts St,Portland,97217,45.58116913,-122.6791077,1,2,4791,13,2021-07-15,302000,303400.0,1871.0,1.12,281930.0,2020
13968 Passage Pkwy,Oregon City,97045,45.31576538,-122.57955929999999,3,3,2178,11,2021-07-15,380000,382000.0,2331.0,1.08,324563.0,2020
7120 SE 71st Ave,Portland,97206,45.47149277,-122.5900574,1,3,5662,12,2021-07-15,369000,370200.0,2026.0,1.12,316130.0,2020
5923 SE Henderson St,Portland,97206,45.46946716,-122.6024551,1,2,3920,12,2021-07-15,365000,368000.0,1892.0,1.12,251500.0,2020
3822 SE 80th Ave,Portland,97206,45.4944458,-122.58068850000001,2,3,1742,13,2021-07-15,372000,373700.0,2078.0,1.12,265570.0,2020
1715 N Willamette Blvd,Portland,97217,45.562213899999996,-122.68522639999999,1,1,3920,13,2021-07-15,375000,376400.0,1780.0,1.12,391650.0,2020
6403 N Mississippi Ave,Portland,97217,45.56928635,-122.6761932,1,3,5250,13,2021-07-15,366000,494100.0,2400.0,1.12,424720.0,2020
6735 N Curtis Ave,Portland,97217,45.57167435,-122.6985321,1,3,5662,10,2021-07-15,609000,609400.0,2364.0,1.12,429530.0,2020
32037 SE Proctor St,Gresham,97080,45.47040176,-122.3331528,2,3,14810,7,2021-07-15,500000,500500.0,2358.0,1.12,288030.0,2020
4129 NE 40th Ave,Portland,97211,45.55282593,-122.6227188,2,3,5227,8,2021-07-15,742000,742800.0,2980.0,1.12,604810.0,2020
1869 NW 129th Pl,Portland,97229,45.53357315,-122.80993649999999,3,4,10890,8,2021-07-15,971000,972400.0,4070.0,1.13,782380.0,2019
1836 SE Oak Crest Dr,Hillsboro,97123,45.51648331,-122.9636993,2,3,10890,5,2021-07-15,464300,446100.0,2070.0,1.13,297260.0,2019
7855 SE 16th Ave,Portland,97202,45.46773529,-122.6493301,3,4,5227,8,2021-07-15,1200000,1201300.0,4156.0,1.12,840850.0,2020
16886 SE Tranquil St,Happy Valley,97086,45.44491959,-122.4894028,2,4,6969,10,2021-07-15,700000,701500.0,3175.0,1.08,616111.0,2020
