abbreviatedaddress,city,zipcode,latitude,longitude,bathrooms,bedrooms,lotsize,date_sold,price,zestimate,median_income
3297 NW Kinsley Ter,Portland,97229,45.54325485,-122.8024063,4,5,6969,4/29/2021,1026888,1066100,70082
7404 NW Elise Ave,Portland,97229,45.57322693,-122.8311844,3,2,1306,1/4/2021,350000,390100,70082
5264 NW Pender Pl,Portland,97229,45.55762863,-122.8311996,3,4,7405,4/29/2021,574000,600800,70082
15636 NW Blueblossom St,Portland,97229,45.56817627,-122.8379517,3,3,1742,6/28/2021,516510,523100,70082
14017 NW Greenwood Dr,Portland,97229,45.56144333,-122.820755,3,4,7840,1/4/2021,835000,925200,70082
5460 NW Primino Ave,Portland,97229,45.55862427,-122.8108521,4,5,6969,1/27/2021,900000,985600,70082
16984 NW Viola St,Portland,97229,45.57353973,-122.8530045,4,5,3049,1/27/2021,632200,696900,70082
7172 NW Abigail Ter,Portland,97229,45.57154846,-122.8488235,3,4,2613,3/12/2021,507000,545300,70082
4536 NW 130th Ave,Portland,97229,45.55239487,-122.8110046,3,4,7405,4/12/2021,835000,874800,70082
4651 NW Buckboard Dr,Portland,97229,45.55290985,-122.8492966,3,4,6098,8/19/2020,540000,636000,70082
3173 NW Miller Rd,Portland,97229,45.54534912,-122.7736588,3,2,3049,4/12/2021,549900,575400,70082
10382 NW Alpenglow Way,Portland,97229,45.52266693,-122.784111,3,3,9583,1/27/2021,612000,674700,70082
15511 NW Donegal Ct,Portland,97229,45.55257416,-122.8372498,3,3,7840,8/19/2020,593000,698400,70082
16772 NW Countryridge Dr,Portland,97229,45.554142,-122.8488312,3,4,6534,1/27/2021,557862,614700,70082
16772 NW Stalder Ln,Portland,97229,45.56912994,-122.8500443,3,4,4791,4/29/2021,800500,830800,70082
1321 NW 93rd Ave,Portland,97229,45.5291214,-122.7728806,2,3,9147,4/26/2021,780000,813300,70082
14762 NW Fawnlily Dr,Portland,97229,45.56385422,-122.8284988,3,4,4792,8/5/2020,552900,654200,70082
8880 NW Cornell Rd,Portland,97229,45.52859116,-122.7685623,3,4,20037,1/29/2021,609804,671600,70082
