,address,city,zipcode,latitude,longitude,bathrooms,bedrooms,lotsize,date_sold,price,zestimate,median_income
4680,15269 SW Turnagain Dr,Portland,97224,45.40961456,-122.80401609999998,3,4,5662,7/6/2021,670000,671300,46558.0
4681,13845 SW 158th Ter,Tigard,97224,45.419849400000004,-122.83940890000001,3,4,40946,7/6/2021,1235000,1239700,46558.0
4682,8058 SW Carol Ann Ct,Tigard,97224,45.40453339,-122.76013950000001,3,3,2613,2/12/2021,420000,454500,46558.0
4683,13347 SW Bedford St,King City,97224,45.39307022,-122.8143845,3,3,4791,7/7/2021,631000,631600,46558.0
4684,8932 SW Waverly Dr,Tigard,97224,45.39968491,-122.7691422,3,3,4791,7/7/2021,580000,580800,46558.0
4685,12742 SW Peachvale St,Tigard,97224,45.40239716,-122.8083496,2,2,5662,7/7/2021,526000,526800,46558.0
4686,14196 SW Stellers Jay Ln,Tigard,97224,45.41666794,-122.81280520000001,3,4,5227,7/7/2021,703000,704000,46558.0
4687,9850 SW Pembrook St,Tigard,97224,45.41393661,-122.7778854,2,4,15681,7/30/2020,531000,624400,46558.0
4688,14680 SW 120th Pl,Tigard,97224,45.41390991,-122.801506,3,4,6969,7/7/2021,585500,586600,46558.0
4689,12916 SW Timara Ln,Tigard,97224,45.39489746,-122.8097153,3,4,6098,7/30/2020,485000,570300,46558.0
4690,15995 SW Roshak Rd,Tigard,97224,45.41923141,-122.84121699999999,3,6,20908,7/30/2020,517500,608200,46558.0
4691,9717 SW Oaks Ln,Tigard,97224,45.40988541,-122.77626799999999,3,4,5662,7/30/2020,469000,551700,46558.0
4692,16346 SW 104th Ave,Tigard,97224,45.401706700000005,-122.7836456,2,3,4356,7/30/2020,409900,482000,46558.0
4693,17070 SW Rivendell Dr,Portland,97224,45.39678955,-122.7576523,2,4,10018,7/7/2021,650000,650900,46558.0
4694,15458 SW 82nd Pl,Tigard,97224,45.4085083,-122.76152040000001,3,3,5227,7/30/2020,490000,576200,46558.0
4695,11916 SW Elemar Ct,Tigard,97224,45.41310120000001,-122.79953770000002,3,4,10018,2/15/2021,700000,755800,46558.0
4696,14799 SW Rosario Ln,Tigard,97224,45.40449524,-122.82884979999999,3,3,6534,7/30/2020,495000,582100,46558.0
4697,14119 SW Wagoner Pl,Tigard,97224,45.41786194,-122.817894,3,4,11761,7/30/2020,700000,823200,46558.0
4698,15810 SW Greens Way,Tigard,97224,45.40586472,-122.78302,2,2,5662,3/18/2021,375000,398200,46558.0
4699,15025 SW Chardonnay Ave,Tigard,97224,45.41098022,-122.82723999999999,3,4,10454,4/22/2021,750000,781800,46558.0
4700,8325 SW Murdock St,Tigard,97224,45.41324997,-122.7628403,2,3,7405,4/22/2021,500000,521200,46558.0
4701,14245 SW 112th Ave,Tigard,97224,45.416942600000006,-122.79307560000001,3,4,10018,7/28/2020,433500,510100,46558.0
4702,9885 SW Kent Ct,Tigard,97224,45.40105820000001,-122.77864840000002,3,4,11325,4/12/2021,595000,623300,46558.0
4703,13070 SW Jacob Ct,Tigard,97224,45.39416504,-122.81146240000001,3,4,5662,2/15/2021,497000,536600,46558.0
4704,8550 SW Schmidt Loop,Tigard,97224,45.4078064,-122.76488490000001,3,4,2613,2/15/2021,510000,550400,46558.0
4705,10851 SW Canterbury Ln,Portland,97224,45.41594696,-122.78749850000001,3,3,435,7/28/2020,328000,385900,46558.0
