abbreviatedAddress,city,zipcode,latitude,longitude,bathrooms,bedrooms,lotSize,daysOnZillow,Date_sold,price,zestimate,rentZestimate,propertyTaxRate,taxAssessedValue,taxAssessedYear
2721 Lafave St,West Linn,97068,45.37870789,-122.6311111,2,3,10018,10,7/15/2021,575000,577600,2495,1.08,401394,2020
22085 S Wisteria Rd,West Linn,97068,45.36617661,-122.6648331,3,4,135036,10,7/15/2021,1175000,1177600,2455,1.08,720277,2020
3022 Kensington Ct,West Linn,97068,45.35598755,-122.6474075,2,3,6995,11,7/15/2021,760800,720900,2851,1.08,681261,2020
2285 Brandon Pl,West Linn,97068,45.35155106,-122.6730042,4,3,21780,11,7/15/2021,1100000,1103000,4944,1.08,918095,2020
12023 SE Wood Ave,Portland,97222,45.43647385,-122.6090775,3,3,6969,10,7/15/2021,440000,442000,3300,1.08,419189,2020
9465 SE 55th Ave,Portland,97222,45.45465088,-122.6075668,1,3,5662,10,7/15/2021,400000,401800,2562,1.08,263266,2020
2319 SE Birk St,Portland,97222,45.43528366,-122.6390305,1,3,6730,11,7/15/2021,100000,491800,3399,1.08,406241,2020
2933 Coeur D Alene Dr,West Linn,97068,45.35367966,-122.6409454,4,5,10018,10,7/15/2021,1495000,1498100,6175,1.08,1381442,2020
20595 Noble Ln,West Linn,97068,45.36558151,-122.6463623,3,4,3484,10,7/15/2021,488000,489100,2713,1.08,389240,2020
13331 Abigail Ct,Oregon City,97045,45.32416534,-122.5930862,2,3,8276,11,7/15/2021,517398,520100,2533,1.08,380676,2020
12865 SW 107th Ct,Tigard,97223,45.42692947,-122.7878418,2,3,6969,3,7/15/2021,443900,462900,1828,1.13,364880,2019
1125 Maple St,Lake Oswego,97034,45.40981674,-122.6720352,4,4,30491,11,7/15/2021,3650000,3659900,15576,1.08,1859615,2020
18711 Westview Dr,Lake Oswego,97034,45.39001083,-122.7027283,4,4,23522,11,7/15/2021,1200000,1206200,4950,1.08,1092801,2020
853 D Ave,Lake Oswego,97034,45.42436218,-122.672905,4,4,6098,10,7/15/2021,1812500,1820800,7810,1.08,1479224,2020
15271 SW Turnagain Dr,Tigard,97224,45.40945435,-122.8040695,3,4,5227,3,7/15/2021,595000,652700,2950,1.13,508100,2019
9760 SW McDonald St,Tigard,97224,45.41848755,-122.777153,2,3,11761,3,7/15/2021,446000,439300,2208,1.13,357680,2019
8685 SW Inez St,Tigard,97224,45.41542435,-122.7664413,3,3,7405,3,7/15/2021,580000,598400,2385,1.13,395790,2019
12049 SW Wilton Ave,Tigard,97223,45.43286896,-122.819191,3,3,5662,4,7/15/2021,540000,576500,2562,1.13,411320,2019
1226 N Watts St,Portland,97217,45.58116913,-122.6791077,1,2,4791,13,7/15/2021,302000,303400,1871,1.12,281930,2020
13968 Passage Pkwy,Oregon City,97045,45.31576538,-122.5795593,3,3,2178,11,7/15/2021,380000,382000,2331,1.08,324563,2020
7120 SE 71st Ave,Portland,97206,45.47149277,-122.5900574,1,3,5662,12,7/15/2021,369000,370200,2026,1.12,316130,2020
5923 SE Henderson St,Portland,97206,45.46946716,-122.6024551,1,2,3920,12,7/15/2021,365000,368000,1892,1.12,251500,2020
3822 SE 80th Ave,Portland,97206,45.4944458,-122.5806885,2,3,1742,13,7/15/2021,372000,373700,2078,1.12,265570,2020
1715 N Willamette Blvd,Portland,97217,45.5622139,-122.6852264,1,1,3920,13,7/15/2021,375000,376400,1780,1.12,391650,2020
6403 N Mississippi Ave,Portland,97217,45.56928635,-122.6761932,1,3,5250,13,7/15/2021,366000,494100,2400,1.12,424720,2020
6735 N Curtis Ave,Portland,97217,45.57167435,-122.6985321,1,3,5662,10,7/15/2021,609000,609400,2364,1.12,429530,2020
32037 SE Proctor St,Gresham,97080,45.47040176,-122.3331528,2,3,14810,7,7/15/2021,500000,500500,2358,1.12,288030,2020
4129 NE 40th Ave,Portland,97211,45.55282593,-122.6227188,2,3,5227,8,7/15/2021,742000,742800,2980,1.12,604810,2020
1869 NW 129th Pl,Portland,97229,45.53357315,-122.8099365,3,4,10890,8,7/15/2021,971000,972400,4070,1.13,782380,2019
1836 SE Oak Crest Dr,Hillsboro,97123,45.51648331,-122.9636993,2,3,10890,5,7/15/2021,464300,446100,2070,1.13,297260,2019
7855 SE 16th Ave,Portland,97202,45.46773529,-122.6493301,3,4,5227,8,7/15/2021,1200000,1201300,4156,1.12,840850,2020
16886 SE Tranquil St,Happy Valley,97086,45.44491959,-122.4894028,2,4,6969,10,7/15/2021,700000,701500,3175,1.08,616111,2020
11124 SE 100th Ave,Happy Valley,97086,45.44235992,-122.5605011,3,4,4356,10,7/15/2021,646000,649000,3300,1.08,509243,2020
13048 SE Verlie St,Happy Valley,97086,45.42827225,-122.5085373,3,4,5227,10,7/15/2021,695000,698200,3444,1.08,624660,2020
7535 SE 20th Ave,Portland,97202,45.4704895,-122.6445313,2,3,2613,8,7/15/2021,715000,716300,2633,1.12,543870,2020
9576 NW Marvin Ln,Portland,97229,45.53176117,-122.7756805,3,4,6969,8,7/15/2021,845000,846200,3716,1.13,643220,2019
6127 NE 27th Ave,Portland,97211,45.56740952,-122.6384506,3,3,3049,8,7/15/2021,749500,750900,3068,1.12,629630,2020
2140 SE Aster Ct,Hillsboro,97123,45.4996376,-122.9607773,2,3,8276,5,7/15/2021,485000,501600,1997,1.13,369490,2019
15226 NW Eugene Ln,Portland,97229,45.54879379,-122.8337631,3,4,8276,8,7/15/2021,930000,931300,4043,1.13,721740,2019
9715 NW Bartholomew Dr,Portland,97229,45.53897858,-122.7765579,3,3,11325,8,7/15/2021,727345,728100,2984,1.12,603300,2020
330 NW Torrey View Dr,Portland,97229,45.52212524,-122.7682037,3,4,10454,8,7/15/2021,710000,712500,2434,1.13,537320,2019
4142 SE 52nd Ave,Portland,97206,45.49261856,-122.6086807,2,3,12196,7,7/15/2021,847000,848200,2600,1.12,561210,2020
140 NW 89th Ave,Portland,97229,45.52059555,-122.7683182,3,4,10018,7,7/15/2021,754600,755300,2495,1.13,473690,2019
2853 SE 49th Ave,Portland,97206,45.50170135,-122.6123505,3,5,4791,7,7/15/2021,777700,819800,3196,1.12,561020,2020
11201 S Riverwood Rd,Portland,97219,45.44457626,-122.6563339,2,3,22215,7,7/15/2021,797000,798200,2833,1.12,825550,2020
5104 SE Long St,Portland,97206,45.48810959,-122.6095581,2,3,21780,8,7/15/2021,980000,1046900,4411,1.12,944580,2020
7316 SE 31st Ave,Portland,97202,45.47154236,-122.6311035,4,4,10018,8,7/15/2021,1150000,1151300,4817,1.12,1043850,2020
11526 SW Vacuna Ct,Portland,97219,45.44166565,-122.7010727,3,4,6534,7,7/15/2021,700000,700500,3133,1.12,580920,2020
14221 SE Lyon Crest St,Happy Valley,97086,45.43100739,-122.5166473,3,6,8712,11,7/15/2021,605000,606600,3494,1.08,562761,2020
16045 SE Palermo Ave,Happy Valley,97086,45.43231583,-122.4984818,3,3,7405,11,7/15/2021,700000,701900,3399,1.08,689606,2020
10722 SE Jason Ln,Happy Valley,97086,45.44547272,-122.532402,5,4,23522,11,7/15/2021,1798000,1807300,7341,1.08,1488766,2020
781 Linn Ave,Oregon City,97045,45.34448624,-122.6045837,2,3,9147,10,7/15/2021,480000,481000,2452,1.08,399855,2020
20007 Torrey Pines Ct,Oregon City,97045,45.31621552,-122.5595779,2,3,9583,10,7/15/2021,603000,604300,2452,1.08,379376,2020
21061 S Mossy Rock Ct,Oregon City,97045,45.30161667,-122.5603867,2,3,8712,11,7/15/2021,526000,528700,2465,1.08,324429,2020
18085 S Longhorn Ln,Oregon City,97045,45.34371948,-122.5107117,3,4,80586,11,7/15/2021,1198000,1204200,4721,1.08,761275,2020
19450 Provisioner Ct,Oregon City,97045,45.3234787,-122.5999908,3,4,5662,11,7/15/2021,580000,583000,2600,1.08,451681,2020
12012 SE 35th Ave,Milwaukie,97222,45.43638611,-122.6269226,2,3,8712,10,7/15/2021,495000,496100,2594,1.08,363682,2020
1330 NE Queens Ln,Hillsboro,97124,45.530056,-122.9690399,3,3,9583,5,7/15/2021,565000,565500,1999,1.13,343390,2019
3026 SE Washington St,Portland,97222,45.44340134,-122.6313171,3,3,7405,10,7/15/2021,450000,451000,3010,1.08,376602,2020
11729 SE Mountain Ridge Ave,Happy Valley,97086,45.43748474,-122.5262451,4,5,9583,10,7/15/2021,960000,930700,3495,1.08,769547,2020
7148 SE Ariel St,Hillsboro,97123,45.51399231,-122.9074326,3,4,5227,5,7/15/2021,540000,541400,2350,1.13,377130,2019
15754 NW Trakehner Way,Portland,97229,45.55782318,-122.8390961,3,5,6098,8,7/15/2021,670000,671400,2914,1.13,574710,2019
9085 SE Chloe Ln,Happy Valley,97086,45.45261383,-122.5698776,3,3,2613,10,7/15/2021,372000,373700,1884,1.08,316441,2020
4425 NE Cleveland Ave,Portland,97211,45.55543518,-122.665947,2,3,2613,8,7/15/2021,735000,735800,2635,1.12,533220,2020
5711 NW Primino Ave,Portland,97229,45.56080246,-122.811409,4,4,4791,8,7/15/2021,790000,791100,3608,1.13,741120,2019
603 NE Webster St,Portland,97211,45.56020737,-122.6593018,4,4,3049,7,7/15/2021,750000,750500,3000,1.12,679780,2020
2421 SE Dove St,Portland,97222,45.43271637,-122.6386337,2,3,4791,11,7/15/2021,430000,432200,2527,1.08,316107,2020
